Name,Task ID,Milestone,Area,Priority,Sprint Plan,Status,Plan,Type,Depends On,Acceptance,Source,Source Path,Source Commit
[TWN-1107] Implement product affinity and basket recommendations,TWN-1107,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 25,Backlog,Pro,Task,"TWN-0806, TWN-1101","Evidence is inspectable and recommendations never perform automatic price, stock, or Campaign actions",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1108] Implement anonymous benchmark export and re-identification safeguards,TWN-1108,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Security,Critical,Sprint 27,Backlog,Pro,Task,"TWN-1002, TWN-1101","No Customer identifiers/free text leave stores; thresholds, suppression, outliers, and review are recorded",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1109] Test Pro Campaign safety, recipient consent, entitlement, and recommendation evidence",TWN-1109,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Security,Critical,Sprint 27,Backlog,Pro,Review,"TWN-1102 through TWN-1108, TWN-1111 through TWN-1118","Standard denial, opt-out, caps, expiry, idempotency, sensitive-trait exclusion, and explanations pass",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1110] Run owner-approved synthetic Campaign and Pro intelligence acceptance,TWN-1110,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Campaign,Critical,Sprint 27,Backlog,Pro,Review,TWN-1109,Outcomes reconcile without violating contact policy and every commercial action remains human-approved,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1111] Implement bounded Campaign personalization and idempotent delivery,TWN-1111,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Campaign,Critical,Sprint 25,Backlog,Pro,Task,TWN-1104,Personalization stays inside the approved envelope; retries never duplicate delivery and every result is recorded,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1112] Implement Customer lifetime-value analysis,TWN-1112,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 26,Backlog,Pro,Task,TWN-1106,"Outputs record model version, value window, confidence, explanation, and insufficient-data state",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1113] Implement next-best-offer recommendations,TWN-1113,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 26,Backlog,Pro,Task,"TWN-1106, TWN-1107",Recommendations cite eligible products and evidence and cannot schedule or send a Campaign,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1114] Implement demand recommendations,TWN-1114,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 27,Backlog,Pro,Task,"TWN-0806, TWN-1101","Results record horizon, evidence, confidence, explanation, and owner action without changing stock or price",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1115] Implement promotion-leakage recommendations,TWN-1115,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 27,Backlog,Pro,Task,"TWN-0806, TWN-1101",Results distinguish approved discount effects and record evidence without automatic commercial changes,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1116] Implement operational anomaly recommendations,TWN-1116,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 27,Backlog,Pro,Task,"TWN-0806, TWN-1101","Store-local thresholds, evidence, confidence, explanation, and owner disposition are inspectable",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1117] Implement Customer cohort analysis,TWN-1117,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 26,Backlog,Pro,Task,TWN-1106,"Cohort definition, evidence window, store scope, comparison, and insufficient-data state are inspectable",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1118] Implement Customer churn-risk analysis,TWN-1118,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 26,Backlog,Pro,Task,TWN-1106,"Model version, prediction window, confidence, explanation, consent limits, and owner disposition are inspectable",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
